Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
lun. 12 septembre 2022 - 07:34;Aller boulot;5,24;16m 15s;975;19,36;28,13;26,09;23,23;20,02;;;;;;;;;;;3,20;2,24;1,44;0,08;;
dim. 11 septembre 2022 - 07:41;Les Roch des monts d’Arrée 2022 avec Clément;85,84;07h 03m 37s;25417;12,16;60,00;58,06;52,94;19,76;18,16;14,86;12,02;;17,98;15,04;14,00;13,50;12,09;12,20;14,16;10,40;8,58;3,24;1,49;1,10
ven. 09 septembre 2022 - 17:10;Retour boulot;5,34;13m 52s;832;23,09;34,62;33,33;32,14;24,86;;;;;;;;;;;2,96;2,20;1,82;0,51;;
ven. 09 septembre 2022 - 07:32;Sortie vélo le matin;5,25;16m 19s;979;19,30;26,47;25,00;22,36;19,91;;;;;;;;;;;5,20;4,24;3,52;0,82;;
jeu. 08 septembre 2022 - 17:35;Retour boulot;5,30;12m 11s;731;26,11;47,37;43,90;40,00;27,73;;;;;;;;;;;4,00;1,96;1,60;0,27;;
jeu. 08 septembre 2022 - 07:33;Aller boulot;5,25;17m 24s;1044;18,10;23,08;22,50;21,05;18,99;;;;;;;;;;;2,88;2,24;1,28;;;
mer. 07 septembre 2022 - 17:57;Retour boulot;5,27;13m 44s;824;23,00;30,00;27,69;27,48;24,56;;;;;;;;;;;3,12;2,32;2,08;0,23;;
mer. 07 septembre 2022 - 07:36;Aller boulot;5,24;16m 10s;970;19,44;28,13;26,09;23,84;20,36;;;;;;;;;;;2,68;1,66;1,06;;;
mar. 06 septembre 2022 - 17:32;Retour boulot;5,29;13m 33s;813;23,42;37,50;36,00;33,64;25,32;;;;;;;;;;;2,88;2,36;1,84;0,38;;
mar. 06 septembre 2022 - 07:36;Aller boulot;5,24;16m 10s;970;19,45;28,13;26,09;23,84;20,29;;;;;;;;;;;2,32;1,72;1,26;;;
lun. 05 septembre 2022 - 17:33;Retour boulot;5,32;15m 40s;940;20,38;31,03;29,51;28,80;21,61;;;;;;;;;;;5,84;2,28;1,68;0,38;;
lun. 05 septembre 2022 - 07:31;Aller boulot;5,24;16m 37s;997;18,94;24,32;23,08;21,30;19,63;;;;;;;;;;;2,96;1,88;1,10;0,20;;
dim. 04 septembre 2022 - 08:49;Sortie VTT Nouvoitou AROD;42,09;03h 20m 12s;12012;12,61;50,00;40,91;27,91;18,91;17,90;15,91;;;18,36;17,33;13,97;13,08;;;7,76;4,60;2,48;0,76;0,29;0,12
ven. 02 septembre 2022 - 17:30;Retour boulot;5,26;14m 20s;860;22,04;33,33;31,58;30,77;23,72;;;;;;;;;;;3,12;2,60;2,04;0,39;;
ven. 02 septembre 2022 - 07:33;Aller boulot;5,21;17m 34s;1054;17,79;25,00;21,95;21,05;18,99;;;;;;;;;;;2,64;1,88;0,94;;;
jeu. 01 septembre 2022 - 18:18;Sortie vélo en soirée;5,35;14m 56s;896;21,50;37,50;36,00;35,29;22,90;;;;;;;;;;;3,52;1,92;1,56;0,45;;
jeu. 01 septembre 2022 - 08:03;Aller boulot;5,22;16m 12s;972;19,33;30,00;27,27;23,84;20,11;;;;;;;;;;;2,88;1,80;1,10;;;
mer. 31 août 2022 - 18:58;Retour boulot;5,26;12m 45s;765;24,77;33,33;32,14;30,51;26,05;;;;;;;;;;;2,72;2,20;1,64;0,16;;
mer. 31 août 2022 - 08:14;Aller boulot;5,26;12m 58s;778;24,34;36,00;34,62;32,43;26,71;;;;;;;;;;;2,96;2,00;0,92;;;
mar. 30 août 2022 - 14:47;Retour boulot;5,30;14m 46s;886;21,52;31,03;30,00;29,03;22,90;;;;;;;;;;;2,56;1,68;1,12;0,25;;
mar. 30 août 2022 - 08:02;Aller boulot;5,24;13m 28s;808;23,34;32,14;31,58;30,00;24,49;;;;;;;;;;;2,88;1,48;1,10;0,05;;
lun. 29 août 2022 - 18:05;Retour boulot;5,30;14m 23s;863;22,11;33,33;31,58;30,77;23,50;;;;;;;;;;;5,84;3,44;1,62;0,30;;
lun. 29 août 2022 - 08:24;Aller boulot;5,26;13m 30s;810;23,38;33,33;31,03;29,03;24,69;;;;;;;;;;;5,28;4,08;1,74;0,62;;
jeu. 25 août 2022 - 18:00;Retour boulot;5,29;14m 52s;892;21,35;33,33;31,03;30,00;22,81;;;;;;;;;;;4,00;1,76;1,30;0,30;;
jeu. 25 août 2022 - 12:02;Sortie vélo le midi;11,11;02h 15m 14s;8114;4,93;37,50;34,62;32,73;25,97;4,58;;;;2,83;2,83;2,83;;;;6,32;4,32;3,24;0,98;0,07;
jeu. 25 août 2022 - 08:05;Aller boulot;5,32;16m 22s;982;19,50;29,03;27,69;24,49;21,92;;;;;;;;;;;2,88;1,56;0,58;;;
mer. 24 août 2022 - 17:59;Retour boulot;5,30;18m 03s;1083;17,61;28,13;26,47;24,49;18,56;;;;;;;;;;;4,16;2,20;1,38;0,35;;
mer. 24 août 2022 - 08:27;Aller boulot;5,22;13m 18s;798;23,53;34,62;33,96;31,86;24,62;;;;;;;;;;;3,28;1,84;1,06;;;
mar. 23 août 2022 - 18:16;Retour boulot;5,35;18m 39s;1119;17,20;31,03;26,09;24,66;17,89;;;;;;;;;;;3,20;1,96;1,70;0,39;;
mar. 23 août 2022 - 08:21;Aller boulot;5,25;13m 10s;790;23,92;36,00;33,96;29,03;24,97;;;;;;;;;;;1,68;1,40;0,74;;;
sam. 20 août 2022 - 09:37;Petit sortie VTT avec Clement;44,20;03h 11m 09s;11469;13,87;42,86;39,13;30,77;24,26;21,56;18,28;;;21,31;18,97;16,51;14,18;;;8,24;5,88;3,38;0,88;0,53;0,28
ven. 19 août 2022 - 17:21;Retour boulot;5,31;16m 58s;1018;18,79;29,03;27,27;26,28;20,34;;;;;;;;;;;2,96;2,20;1,58;0,11;;
ven. 19 août 2022 - 08:16;Aller boulot;5,32;15m 49s;949;20,18;28,13;26,47;24,83;22,28;;;;;;;;;;;3,76;2,04;1,18;0,17;;
jeu. 18 août 2022 - 17:58;Retour boulot;5,32;15m 11s;911;21,02;31,03;30,51;28,57;22,70;;;;;;;;;;;4,40;1,96;1,34;0,35;;
jeu. 18 août 2022 - 08:13;Aller boulot;5,12;13m 34s;814;22,64;31,03;28,57;27,07;23,50;;;;;;;;;;;3,12;1,36;0,78;;;
mer. 17 août 2022 - 18:33;Retour boulot;5,26;12m 09s;729;25,99;33,33;32,14;31,86;27,15;;;;;;;;;;;3,68;2,08;1,88;0,45;;
mer. 17 août 2022 - 08:20;Aller boulot;5,21;14m 02s;842;22,26;34,62;33,33;30,00;23,41;;;;;;;;;;;2,96;1,44;1,08;;;
mar. 16 août 2022 - 18:16;Retour boulot;5,41;21m 40s;1300;14,97;34,62;32,14;31,86;24,39;;;;;;;;;;;3,12;1,84;1,62;0,36;;
mar. 16 août 2022 - 08:22;Aller boulot;4,76;13m 54s;834;20,55;32,14;29,03;26,67;;;;;;;;;;;;2,96;1,56;0,26;;;
jeu. 11 août 2022 - 17:53;Retour boulot;5,20;13m 33s;813;23,03;37,50;36,73;34,95;24,36;;;;;;;;;;;6,00;2,00;1,22;0,09;;
jeu. 11 août 2022 - 11:59;Sortie vélo le midi;9,15;01h 40m 01s;6001;5,49;42,86;40,00;37,11;3,48;;;;;3,21;3,21;;;;;11,84;6,28;3,50;1,51;;
jeu. 11 août 2022 - 08:20;Aller boulot;5,18;13m 25s;805;23,18;32,14;30,00;27,69;24,49;;;;;;;;;;;2,64;1,60;1,14;;;
mer. 10 août 2022 - 17:59;Retour boulot;5,57;37m 44s;2264;8,85;31,03;29,51;28,35;22,53;;;;;10,98;;;;;;6,64;3,04;2,16;0,12;;
mer. 10 août 2022 - 08:15;Aller boulot;5,21;13m 05s;785;23,89;33,33;31,58;29,75;25,21;;;;;;;;;;;2,80;1,72;1,20;;;
mar. 09 août 2022 - 17:59;Retour boulot;5,34;18m 09s;1089;17,67;32,14;32,14;30,00;21,90;;;;;;;;;;;3,68;1,68;1,40;0,19;;
mar. 09 août 2022 - 08:21;Aller boulot;5,18;13m 55s;835;22,32;31,03;29,03;27,07;23,56;;;;;;;;;;;3,12;1,64;1,07;;;
lun. 08 août 2022 - 18:11;Retour boulot;5,22;15m 25s;925;20,30;30,00;29,51;27,07;21,98;;;;;;;;;;;4,48;1,80;1,04;0,15;;
lun. 08 août 2022 - 08:21;Aller boulot;5,18;13m 55s;835;22,33;31,03;29,03;27,07;23,59;;;;;;;;;;;5,36;3,60;2,40;0,62;;
jeu. 04 août 2022 - 17:50;Retour boulot;5,25;15m 06s;906;20,85;31,03;29,51;28,13;22,03;;;;;;;;;;;3,04;1,84;1,44;0,33;;
jeu. 04 août 2022 - 07:58;Aller boulot;5,20;14m 43s;883;21,21;31,03;28,13;25,71;22,39;;;;;;;;;;;3,36;1,60;1,00;;;
mer. 03 août 2022 - 17:29;Retour boulot;6,36;37m 39s;2259;10,13;27,27;23,38;19,89;16,57;;;;;11,17;;;;;;9,04;4,96;1,82;0,48;;
mer. 03 août 2022 - 08:16;Aller boulot;5,21;13m 56s;836;22,45;32,14;30,00;26,47;23,44;;;;;;;;;;;3,76;1,88;1,46;0,50;;
mar. 02 août 2022 - 17:57;Retour boulot;5,24;14m 17s;857;22,02;33,33;32,14;31,58;24,29;;;;;;;;;;;4,00;2,48;1,70;0,22;;
mar. 02 août 2022 - 08:18;Aller boulot;5,21;13m 23s;803;23,36;36,00;32,14;28,57;24,52;;;;;;;;;;;2,80;1,72;1,12;;;
lun. 01 août 2022 - 17:35;Retour boulot;5,57;32m 33s;1953;10,26;23,08;21,69;20,22;16,59;;;;;11,01;;;;;;3,68;1,88;1,40;0,31;;
lun. 01 août 2022 - 08:18;Aller boulot;5,22;15m 16s;916;20,52;31,03;30,51;27,07;22,99;;;;;;;;;;;2,48;1,52;0,88;;;
dim. 31 juillet 2022 - 10:24;Sortie VTT avec Gildas;44,77;02h 22m 59s;8579;18,79;36,00;34,62;33,64;22,53;22,14;20,92;;;22,04;20,81;19,03;;;;13,12;9,32;5,38;1,80;0,91;0,40
ven. 29 juillet 2022 - 17:24;Retour boulot;5,24;12m 50s;770;24,49;32,14;31,03;29,75;25,60;;;;;;;;;;;5,44;2,04;1,64;0,30;;
ven. 29 juillet 2022 - 08:27;Aller boulot;5,19;14m 06s;846;22,10;33,33;30,51;28,35;23,87;;;;;;;;;;;3,84;1,88;1,32;0,10;;
jeu. 28 juillet 2022 - 18:21;Retour boulot;7,20;28m 26s;1706;15,20;32,14;30,51;28,57;21,20;;;;;;;;;;;11,52;7,28;2,50;0,44;;
jeu. 28 juillet 2022 - 08:29;Aller boulot;5,20;12m 54s;774;24,19;36,00;33,33;31,03;25,64;;;;;;;;;;;3,84;1,16;0,90;;;
mer. 27 juillet 2022 - 18:07;Retour boulot;5,01;16m 11s;971;18,59;36,00;35,29;34,62;18,83;;;;;;;;;;;10,88;5,80;3,04;0,15;;
mer. 27 juillet 2022 - 08:13;Aller boulot;5,21;13m 02s;782;23,97;33,33;31,58;30,00;26,01;;;;;;;;;;;3,20;1,80;1,52;0,17;;
mar. 26 juillet 2022 - 18:15;Retour boulot;7,00;32m 46s;1966;12,83;25,71;24,32;21,95;16,62;;;;;12,74;;;;;;11,60;5,48;1,68;0,50;;
mar. 26 juillet 2022 - 08:32;Aller boulot;5,18;13m 57s;837;22,27;34,62;32,73;30,00;23,14;;;;;;;;;;;5,52;2,20;1,26;0,02;;
lun. 25 juillet 2022 - 18:09;Retour boulot;5,24;12m 33s;753;25,06;36,00;35,29;34,95;26,71;;;;;;;;;;;4,72;1,92;1,56;0,39;;
lun. 25 juillet 2022 - 08:17;Aller boulot;5,39;15m 04s;904;21,45;33,33;30,51;27,69;22,84;;;;;;;;;;;3,20;1,92;1,02;0,16;;
ven. 22 juillet 2022 - 17:53;Retour boulot;5,23;14m 50s;890;21,15;31,03;30,00;29,03;23,47;;;;;;;;;;;4,48;2,12;1,94;0,49;;
ven. 22 juillet 2022 - 08:07;Aller boulot;5,21;13m 50s;830;22,58;33,33;31,03;27,48;23,68;;;;;;;;;;;3,28;1,60;1,14;0,09;;
jeu. 21 juillet 2022 - 18:18;Retour boulot;5,32;19m 25s;1165;16,44;25,00;23,08;21,69;17,22;;;;;;;;;;;6,16;2,12;1,50;0,34;;
jeu. 21 juillet 2022 - 08:16;Aller boulot;5,20;14m 33s;873;21,43;32,14;29,51;26,09;22,58;;;;;;;;;;;3,60;1,60;1,04;;;
mer. 20 juillet 2022 - 18:15;Retour boulot;5,25;17m 17s;1037;18,22;27,27;26,87;23,08;19,03;;;;;;;;;;;3,92;2,04;1,52;0,40;;
mer. 20 juillet 2022 - 08:34;Aller retour;5,20;14m 32s;872;21,49;40,91;34,62;29,03;22,70;;;;;;;;;;;3,52;1,84;1,18;0,03;;
mar. 19 juillet 2022 - 18:16;Retour boulot;5,33;18m 11s;1091;17,59;32,14;30,00;26,67;19,25;;;;;;;;;;;3,92;2,00;1,42;0,33;;
mar. 19 juillet 2022 - 08:19;Aller boulot;5,20;12m 54s;774;24,18;33,33;32,14;30,25;25,64;;;;;;;;;;;4,80;1,76;1,10;;;
lun. 18 juillet 2022 - 12:59;Retour boulot;4,56;13m 13s;793;20,72;27,27;26,47;25,53;;;;;;;;;;;;3,76;2,24;1,74;;;
lun. 18 juillet 2022 - 07:59;Aller boulot;5,25;12m 00s;720;26,23;36,00;33,96;32,14;27,86;;;;;;;;;;;4,00;3,16;2,84;0,77;;
sam. 16 juillet 2022 - 09:50;Sortie VTT le matin;41,06;02h 06m 50s;7610;19,42;42,86;36,73;33,64;23,35;21,10;19,97;;;20,45;19,95;19,49;;;;6,32;4,52;2,48;0,66;0,28;0,17
jeu. 14 juillet 2022 - 09:30;Saint-Lary - Col du Portet (2215 m);38,45;03h 48m 53s;13733;10,08;64,29;64,29;58,06;41,67;38,88;19,30;;;35,49;19,79;13,47;10,70;;;18,24;17,60;15,25;9,67;8,44;7,27
mar. 12 juillet 2022 - 07:29;Saint-Lary-Soulan - Col du Tourmalet (2115 m) via La Hourquette d’Acizan (1564 m);93,78;07h 43m 34s;27814;12,14;64,29;62,07;56,25;49,72;46,27;23,19;12,94;;31,95;21,53;15,54;15,18;12,71;11,69;12,72;12,22;11,36;9,05;8,73;5,93
lun. 11 juillet 2022 - 10:03;Sortie VTT le matin;15,56;01h 29m 27s;5367;10,44;40,91;34,62;28,35;16,62;14,51;;;;14,04;12,39;;;;;25,52;11,24;9,48;1,72;0,59;
sam. 09 juillet 2022 - 08:30;Bourisp - Col d’Aspin (1490 m);45,55;02h 51m 15s;10275;15,96;60,00;60,00;58,06;46,04;42,70;29,16;;;31,42;22,75;15,41;;;;9,52;9,12;8,62;7,62;6,88;3,50
ven. 08 juillet 2022 - 16:26;Saint-Lary-Soulan - Col d’Azet (1580 m);28,53;02h 15m 43s;8143;12,61;60,00;56,25;51,43;42,65;38,59;16,58;;;31,00;18,29;12,92;;;;10,72;9,60;9,22;8,19;7,15;2,12
mer. 06 juillet 2022 - 08:55;Torla - Collata Zebollar (1907 m);29,40;02h 46m 02s;9962;10,62;47,37;45,00;37,50;28,44;25,75;13,25;;;25,44;17,24;11,42;;;;14,88;10,56;9,18;8,22;7,66;2,44
lun. 04 juillet 2022 - 09:34;Torla - Bajaruelo (1458 m);20,10;01h 31m 15s;5475;13,22;45,00;42,86;37,89;30,25;23,81;13,24;;;20,26;14,60;;;;;15,04;10,20;7,74;5,17;3,68;0,02
sam. 02 juillet 2022 - 08:25;Torla - Punta Acuta (2242 m);31,04;03h 55m 41s;14141;7,90;32,14;27,27;25,90;22,76;20,58;11,39;;;20,59;16,42;10,73;8,80;;;17,88;15,78;14,95;11,27;9,77;4,78
mar. 28 juin 2022 - 18:39;Retour boulot;7,18;20m 44s;1244;20,78;33,33;32,73;32,43;23,90;;;;;;;;;;;4,88;3,44;2,72;0,92;;
mar. 28 juin 2022 - 07:42;Aller boulot;5,26;16m 28s;988;19,17;31,03;29,51;26,67;21,61;;;;;;;;;;;2,08;1,76;1,36;0,12;;
lun. 27 juin 2022 - 17:53;Retour boulot;5,86;25m 17s;1517;13,90;28,13;25,71;23,23;15,50;;;;;;;;;;;9,92;6,20;1,14;0,46;;
lun. 27 juin 2022 - 08:03;Aller boulot;5,24;15m 11s;911;20,71;29,03;27,27;26,09;22,06;;;;;;;;;;;3,28;1,88;1,10;0,17;;
dim. 26 juin 2022 - 09:43;Sortie VTT le matin;30,11;01h 31m 53s;5513;19,66;50,00;43,90;35,64;26,01;22,54;18,96;;;22,84;19,10;;;;;8,08;5,64;3,48;0,95;0,56;0,19
ven. 24 juin 2022 - 17:52;Retour boulot;5,36;17m 07s;1027;18,78;33,33;32,14;30,77;24,19;;;;;;;;;;;2,24;1,76;1,22;0,18;;
ven. 24 juin 2022 - 08:18;Aller boulot;6,71;23m 00s;1380;17,51;32,14;30,00;28,13;24,26;;;;;;;;;;;5,20;2,84;1,56;0,32;;
jeu. 23 juin 2022 - 17:33;Retour boulot;6,87;01h 10m 44s;4244;5,83;31,03;30,51;29,03;5,49;;;;;2,25;5,56;;;;;11,20;5,44;2,82;0,24;;
jeu. 23 juin 2022 - 12:08;Sortie vélo le midi;4,49;01h 48m 10s;6490;2,49;29,03;27,69;26,47;;;;;;1,34;1,34;;;;;6,24;4,80;2,68;;;
jeu. 23 juin 2022 - 07:55;Aller boulot;6,71;23m 33s;1413;17,09;27,27;25,35;22,36;19,76;;;;;;;;;;;3,28;1,68;1,06;0,18;;
mer. 22 juin 2022 - 17:56;Retour boulot;5,64;17m 50s;1070;18,96;27,27;26,47;25,90;20,18;;;;;;;;;;;4,40;3,04;1,74;;;
mer. 22 juin 2022 - 08:06;Aller boulot;5,25;16m 09s;969;19,50;28,13;26,87;24,83;20,50;;;;;;;;;;;2,64;1,68;1,10;0,00;;
lun. 13 juin 2022 - 17:58;Retour boulot;5,34;20m 17s;1217;15,78;22,50;20,93;20,00;16,47;;;;;;;;;;;3,20;2,32;1,96;0,57;;
lun. 13 juin 2022 - 14:39;Aller retour dentiste;11,98;46m 13s;2773;15,55;31,03;30,00;27,69;24,26;14,98;;;;12,90;;;;;;11,20;6,28;2,70;0,95;0,14;
lun. 13 juin 2022 - 07:33;Aller boulot;5,26;15m 16s;916;20,66;27,27;25,71;23,53;21,48;;;;;;;;;;;2,88;1,60;1,26;0,21;;
dim. 12 juin 2022 - 08:45;Randonnée VTT de Liffré avec Cédric et Léo;55,73;04h 02m 22s;14542;13,80;45,00;36,73;33,96;26,47;24,21;15,05;13,46;;20,79;16,03;14,60;13,93;13,88;;11,84;7,12;4,80;1,00;0,49;0,31
sam. 11 juin 2022 - 14:02;Aller retour Décathlon;12,36;58m 51s;3531;12,60;34,62;32,14;28,13;22,90;11,90;;;;9,64;;;;;;4,96;3,20;2,68;0,64;0,10;
ven. 10 juin 2022 - 18:11;Retour boulot;5,25;15m 16s;916;20,65;31,03;29,51;29,03;22,25;;;;;;;;;;;4,40;2,08;1,56;0,52;;
ven. 10 juin 2022 - 07:40;Aller boulot;5,28;14m 13s;853;22,26;28,13;26,47;26,09;23,23;;;;;;;;;;;2,72;1,52;0,98;;;
jeu. 09 juin 2022 - 17:55;Retour boulot;5,25;13m 08s;788;24,00;37,50;36,00;34,95;26,09;;;;;;;;;;;4,56;2,04;1,46;0,31;;
